event_id,victim_id,victim_type,victim_gender,party1,general_category_1,level_of_government,government_area,event_type,aggressor,date,state,Entity,Totalpopulation,Female_population,Male_population,No_health_services_pop,12_year_old_single_population,ID.1.1,avg_scholarity,home_count,average_number_in_home,GDP
569,616,Authority,Male,Movimiento de Unificación y Lucha Triqui (MULT),Funcionario(a),Municipal,Executive,Murder,Sujeto(s) armado(s),2022-05-21,Oaxaca,20,4132148,2157305,1974843,1215990,1054399,1247.6970552642194,7.563336022589754,633.5691811214199,3.587277127874143,252892.486
616,668,Authority,Male,PAN,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Threat,No identificado,2022-05-21,Guanajuato,11,6166934,3170480,2996454,1275190,1678577,1591.6577032584626,8.676868079721608,630.3865865232522,3.849788041758937,701795.455
668,722,Authority,Male,MORENA,Funcionario(a),State,Seguridad (e.g. policías; fuerzas del orden),Armed Attack,Sujeto(s) armados,2022-05-23,Tabasco,27,2402598,1228927,1173671,755484,591074,592.5944055944055,9.515856643356642,722.7272727272727,3.543846153846154,448891.865
568,615,Authority,Male,MORENA,Funcionario(a),Municipal,Executive,Threat,Sujeto(s) armado(s),2022-05-24,Puebla,21,6583278,3423163,3160115,1921945,1790595,1354.3837555886737,8.984105812220566,808.8386736214605,3.768513412816692,595393.262
571,618,Authority,Male,PRI,Funcionario(a),State,Judicial,Murder,Sujeto(s) armado(s),2022-05-25,Mexico,15,16992418,8741123,8251295,5672574,4799091,9822.752444987776,10.071827628361858,825.7169926650366,3.6701894865525673,261684.516
572,619,Authority,Male,MORENA,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Murder,Sujeto(s) armado(s),2022-05-25,Zacatecas,32,1622138,831080,791058,326238,406398,993.5205402363534,8.385649971862689,342.0528981429375,3.566724817107485,151882.034
570,617,Authority,Male,PRD,Funcionario(a),Municipal,Executive,Murder,Sujeto(s) armado(s),2022-05-26,Veracruz_de_Ignacio_de_la_Llave,30,8062579,4190805,3871774,2228480,2081892,2445.4415210688594,8.628476875642344,619.370811921891,3.32551901336074,261684.516
573,620,Authority,Male,MORENA,Funcionario(a),State,Seguridad (e.g. policías; fuerzas del orden),Murder,Sujeto(s) armado(s),2022-05-28,Zacatecas,32,1622138,831080,791058,326238,406398,993.5205402363534,8.385649971862689,342.0528981429375,3.566724817107485,151882.034
574,621,Authority,Male,MORENA,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Murder,Sujeto(s) armado(s),2022-05-28,Sonora,26,2944840,1472643,1472197,547727,825042,807.083115183246,10.127375654450262,706.2198952879581,3.2465706806282726,580732.615
576,623,Authority,Male,PAN,Funcionario(a),State,Seguridad (e.g. policías; fuerzas del orden),Murder,Sujeto(s) armado(s),2022-05-28,Guanajuato,11,6166934,3170480,2996454,1275190,1678577,1591.6577032584626,8.676868079721608,630.3865865232522,3.849788041758937,701795.455
575,622,Authority,Male,MORENA,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Murder,Sicarios,2022-05-29,Chihuahua,8,3741869,1888047,1853822,574108,1019091,2064.8682316118934,9.42680125195618,438.737089201878,3.156682316118936,572880.305
579,627,Authority,Male,PAN,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Kidnapping,Crimen organizado,2022-05-29,Veracruz_de_Ignacio_de_la_Llave,30,8062579,4190805,3871774,2228480,2081892,2445.4415210688594,8.628476875642344,619.370811921891,3.32551901336074,261684.516
578,625,Authority,Male,PES,Funcionario(a),State,Seguridad (e.g. policías; fuerzas del orden),Murder,Sujeto(s) armado(s),2022-05-30,Morelos,17,1971520,1020673,950847,552170,529970,1366.4080962800874,9.947713347921225,896.6094091903719,3.4303501094091904,201049.316
578,626,Authority,Male,PES,Funcionario(a),State,Seguridad (e.g. policías; fuerzas del orden),Armed Attack,Sujeto(s) armado(s),2022-05-30,Morelos,17,1971520,1020673,950847,552170,529970,1366.4080962800874,9.947713347921225,896.6094091903719,3.4303501094091904,201049.316
577,624,Authority,Male,PVEM,Síndico(a),Municipal,Executive,Armed Attack,Sujeto(s) armado(s),2022-05-31,Veracruz_de_Ignacio_de_la_Llave,30,8062579,4190805,3871774,2228480,2081892,2445.4415210688594,8.628476875642344,619.370811921891,3.32551901336074,261684.516
581,629,Authority,Female,No disponible,Ex-Funcionario(a),Municipal,Executive,Armed Attack,Sujeto(s) armado(s),2022-06-02,Veracruz_de_Ignacio_de_la_Llave,30,8062579,4190805,3871774,2228480,2081892,2445.4415210688594,8.628476875642344,619.370811921891,3.32551901336074,261684.516
582,630,Authority,Male,RSP,Alcalde(sa),Municipal,Executive,Armed Attack,Sujeto(s) armado(s),2022-06-03,Morelos,17,1971520,1020673,950847,552170,529970,1366.4080962800874,9.947713347921225,896.6094091903719,3.4303501094091904,201049.316
583,631,Authority,Female,MC,Regidor(a),Municipal,Executive,Threat,No identificado,2022-06-03,Hidalgo,13,3082841,1601462,1481379,928550,805091,908.9313280363224,8.592979568671964,679.9188422247446,3.593098751418842,272452.995
587,635,Party,Male,MORENA,Simpatizante,Municipal,Elections and Campaigns,Murder,Sujeto(s) armado(s),2022-06-03,Oaxaca,20,4132148,2157305,1974843,1215990,1054399,1247.6970552642194,7.563336022589754,633.5691811214199,3.587277127874143,252892.486
584,632,Authority,Male,MORENA,Funcionario(a),Municipal,Executive,Armed Attack,Sujeto(s) armado(s),2022-06-04,Chiapas,7,5543828,2837881,2705947,1814782,1355791,1050.0,7.681076703191996,807.2439256788947,4.093720819437827,261684.516
580,628,Authority,Male,PRI,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Murder,Sujeto(s) armado(s),2022-06-04,Colima,6,731391,370769,360622,123074,201601,187.6702702702703,9.67072972972973,781.0216216216216,3.177621621621621,109098.972
585,633,Authority,Male,MORENA,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Murder,Sujeto(s) armado(s),2022-06-05,Veracruz_de_Ignacio_de_la_Llave,30,8062579,4190805,3871774,2228480,2081892,2445.4415210688594,8.628476875642344,619.370811921891,3.32551901336074,261684.516
586,634,Authority,Male,PRI,Ex-Funcionario(a),State,Seguridad (e.g. policías; fuerzas del orden),Murder,Sujeto(s) armado(s),2022-06-05,Colima,6,731391,370769,360622,123074,201601,187.6702702702703,9.67072972972973,781.0216216216216,3.177621621621621,109098.972
588,636,Authority,Male,PRI,Familiar,Municipal,Executive,Murder,Sujeto(s) armado(s),2022-06-06,Guanajuato,11,6166934,3170480,2996454,1275190,1678577,1591.6577032584626,8.676868079721608,630.3865865232522,3.849788041758937,701795.455
588,637,Authority,Female,PRI,Familiar,Municipal,Executive,Murder,Sujeto(s) armado(s),2022-06-06,Guanajuato,11,6166934,3170480,2996454,1275190,1678577,1591.6577032584626,8.676868079721608,630.3865865232522,3.849788041758937,701795.455
589,638,Authority,Female,MORENA,Familiar,Municipal,Executive,Assault,Sujeto(s) armado(s),2022-06-06,Mexico,15,16992418,8741123,8251295,5672574,4799091,9822.752444987776,10.071827628361858,825.7169926650366,3.6701894865525673,261684.516
591,640,Authority,Male,MORENA,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Murder,Sujeto(s) armado(s),2022-06-07,Veracruz_de_Ignacio_de_la_Llave,30,8062579,4190805,3871774,2228480,2081892,2445.4415210688594,8.628476875642344,619.370811921891,3.32551901336074,261684.516
590,639,Authority,Male,PVEM,Alcalde(sa),Municipal,Executive,Murder,Sujeto(s) armado(s),2022-06-08,Chiapas,7,5543828,2837881,2705947,1814782,1355791,1050.0,7.681076703191996,807.2439256788947,4.093720819437827,261684.516
593,643,Authority,Male,MC,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Assault,Sujeto(s) armado(s),2022-06-08,Veracruz_de_Ignacio_de_la_Llave,30,8062579,4190805,3871774,2228480,2081892,2445.4415210688594,8.628476875642344,619.370811921891,3.32551901336074,261684.516
