Number,ID.1,event_id,victim_id,victim_type,victim_name,victim_gender,party1,party2,party3,party4,coallition,1stpoliticaloffice,2ndpoliticaloffice,3rdpoliticaloffice,general_category_1,general_category_2,general_category_3,level_of_government,government_area,event_type,aggressor,remarks_on_the_crime,date,state,municipal,INEGIcode,MunINEGIcode,Entity,Totalpopulation,Female_population,Male_population,economically_active_population,No_health_services_pop,12_year_old_single_population,ID.1,avg_scholarity,home_count,average_number_in_home,GDP,Concepto
39,MEX-2018-03-15,28,34,Party,Mauricio Martínez Nieto,Male,PAN,MC,,,No,Ex-Candidato a alcalde,Ex-Candidato a diputado federal,,Ex-Candidato(a),,,Municipal,Elections and Campaigns,Murder,Sujeto(s) armado(s),,2018-03-15,Mexico,Ixtapaluca,15,39,15,16992418,8741123,8251295,8544416,5672574,4799091,9822.752444987775,10.071827628361858,825.7169926650366,3.6701894865525673,,
40,PUE-2018-03-16,29,35,Party,Gustavo Martín Gómez Álvarez,Male,PRI,,,,No,Candidato a alcalde,,,Candidato(a),,,Municipal,Elections and Campaigns,Murder,Sujeto(s) armado(s),,2018-03-16,Puebla,Francisco Z. Mena,21,64,21,6583278,3423163,3160115,3198118,1921945,1790595,1354.3837555886737,8.984105812220566,808.8386736214605,3.7685134128166915,595393.262,Puebla
41,MEX-2018-03-18,30,36,Party,Elueterio César Solís,Male,PVEM,,,,No,Candidato a alcalde,Ex-Alcalde,,Candidato(a),Alcalde(sa),,Municipal,Elections and Campaigns,Threat,No identificado,,2018-03-18,Mexico,Jilotzingo,15,46,15,16992418,8741123,8251295,8544416,5672574,4799091,9822.752444987775,10.071827628361858,825.7169926650366,3.6701894865525673,,
42,OAX-2018-03-20,31,37,Party,Nerfiti Silva Melo,Female,PT,,,,,Secretaria de Pre-Candidato a alcalde,,,Militante,,,Municipal,Elections and Campaigns,Murder,No identificado,,2018-03-20,Oaxaca,Loma Bonita,20,44,20,4132148,2157305,1974843,1825593,1215990,1054399,1247.6970552642194,7.563336022589754,633.5691811214199,3.587277127874143,252892.486,Oaxaca
43,SLP-2018-03-27,32,38,Party,Israel Mendoza Vázquez,Male,MORENA,,,,,Candidato a diputación local,,,Candidato(a),,,State,Elections and Campaigns,Armed Attack,Sujeto(s) armado(s),,2018-03-27,San_Luis_Potosi,Matehuala,24,20,24,2822255,1449804,1372451,1361868,490284,771609,924.1924149470161,8.61915225878416,537.85052983826,3.6098605688789736,,
44,PUE-2018-04-02,33,39,Party,Lourdes Elizabeth Martínez Romano,Female,MORENA,PT,PES,,Sí,Candidatoa a alcalde,,,Candidato(a),,,Municipal,Elections and Campaigns,Threat,No identificado,,2018-04-02,Puebla,Teteles de Ávila Castillo,21,173,21,6583278,3423163,3160115,3198118,1921945,1790595,1354.3837555886737,8.984105812220566,808.8386736214605,3.7685134128166915,595393.262,Puebla
45,PUE-2018-04-05,34,33,Party,Alma Salinas Martínez,Female,MORENA,PT,PES,,Sí,Candidatoa a alcalde,,,Candidato(a),,,Municipal,Elections and Campaigns,Threat,No identificado,,2018-04-05,Puebla,Hueytamalco,21,76,21,6583278,3423163,3160115,3198118,1921945,1790595,1354.3837555886737,8.984105812220566,808.8386736214605,3.7685134128166915,595393.262,Puebla
46,MOR-2018-04-10,35,40,Party,Rodrigo Gayosso,Male,PRD,PSD,,,Sí,Candidato a Gobernador,,,Candidato(a),,,State,Elections and Campaigns,Threat,El señor de los caballlos (líder del cártel de Los Rojos),,2018-04-10,Morelos,Cuernavaca,17,7,17,1971520,1020673,950847,1017989,552170,529970,1366.4080962800874,9.947713347921225,896.6094091903719,3.4303501094091904,201049.316,Morelos
47,MIC-2018-04-11,36,41,Party,Maribel Barajas Cortés,Female,PVEM,,,,,Candidata a diputación local,,,Candidato(a),,,State,Elections and Campaigns,Murder,No identificado,,2018-04-11,Michoacan_de_Ocampo,Morelia,16,53,16,4748846,2442505,2306341,2296059,1784629,1197488,1352.850166481687,8.089049204587496,635.433962264151,3.633529411764706,,
48,PUE-2018-04-12,37,42,Authority,José Efraín García,Male,PT,,,,,Alcalde,,,Alcalde(sa),,,Municipal,Executive,Murder,No identificado,,2018-04-12,Puebla,Tepeaca,21,164,21,6583278,3423163,3160115,3198118,1921945,1790595,1354.3837555886737,8.984105812220566,808.8386736214605,3.7685134128166915,595393.262,Puebla
