"","id","id_evento","id_victima","tipo_vic","nom_vic","genero_vic","partido1","partido2","partido3","partido4","coalicion","puesto1","puesto2","puesto3","cat_puesto1","cat_puesto2","cat_puesto3","nivel_gob","area_gob","tipo_evento","agresor","Obs_agresor","fecha","estado","municipio","cve_edoINEGI","cve_munINEGI"
"300","VER-2020-02-15",252,285,"Autoridad","Saúl Héctor Velazquez Vázquez","Hombre","PAN","","","","","Regidor","","","Regidor(a)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","No identificado","","2020-02-15","Veracruz_de_Ignacio_de_la_Llave","Acayucan","30","003"
"301","SON-2020-02-16",253,286,"Autoridad","Daniel Rodríguez Martínez","Hombre","PAN","","","","","Hijo de la regidora","","","Familiar","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","No identificado","","2020-02-16","Sonora","Guaymas","26","029"
"302","MOR-2020-02-17",254,287,"Autoridad","Rafael Reyes Reyes","Hombre","MORENA","PES","PT","","Sí","Alcalde","","","Alcalde(sa)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Amenaza","No identificado","Narcomanta","2020-02-17","Morelos","Jiutepec","17","011"
"303","OAX-2020-02-17",255,288,"Autoridad","Evodio García Hernández","Hombre","","","","","","Hermano del alcalde","","","Familiar","Alcalde(sa)","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","No identificado","Asesinado a balazos.","2020-02-17","Oaxaca","Oaxaca de Juárez","20","067"
"304","OAX-2020-02-27",256,289,"Autoridad","Heriberto Ramírez","Hombre","PRI","","","","","Ex-Diputado local","Ex-Alcalde","","Ex-Diputado(a)","Ex-Diputado(a)","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","Exalcalde de San Miguel Soyaltepec","2020-02-27","Oaxaca","San Miguel Soyaltepec","20","278"
"305","COL-2020-03-02",257,290,"Autoridad","Gabriel Andrade Sánchez","Hombre","PRI","","","","No","Secretario General del PRI en el municipio de Coquimatlán","","","Ex-Funcionario(a)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Desaparición","No identificado","","2020-03-02","Colima","Coquimatlán","06","004"
"306","MEX-2020-03-06",259,291,"Autoridad","José Luis Álvarez","Hombre","No disponible","","","","","Regidor","","","Regidor(a)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Ataque armado","No identificado","","2020-03-06","Mexico","Zinacantepec","15","118"
"307","TAB-2020-03-06",260,292,"Autoridad","Héctor Peralta Grappin","Hombre","PRD","","","","No","Ex-diputado federal","","","Ex-Diputado(a)","","","Federal","Legislativo","Ataque armado","Sujeto(s) armado(s)","","2020-03-06","Tabasco","Comalcalco","27","005"
"308","MIC-2020-03-10",261,293,"Autoridad","Erick Juárez Blanquet","Hombre","PRD","","","","","Diputado local","Ex-Alcalde de Angamacutiro","","Diputado(a)","Ex-Alcalde(sa)","","Estatal","Legislativo","Asesinato","Sujeto(s) armado(s)","","2020-03-10","Michoacan_de_Ocampo","Morelia","16","053"
"309","GRO-2020-03-17",262,294,"Autoridad","Sergio Dolores Flores","Hombre","PRI","","","","","Ex-Alcalde","Ex-Diputado","","Ex-Alcalde(sa)","Ex-Diputado(a)","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","No identificado","","2020-03-17","Guerrero","Chilapa de Álvarez","12","028"
